theme,content,description,howTo,time,condition,needs,explain
정,할머니께 전화드리기,어릴 적 할머니 손에 키워지신 분들 많으시죠? 지금 할머니가 손주 보고 싶으시대요.,"- 할머니께 전화걸어 안부, 인사 등 3개의 말을 건네기<br>- 할머니께 드렸던 문장을 적기",4,Array,3,할머니와 무슨 말을 했나요?
정,버스 탈 때기사님께 인사하기,"정신없이 바쁘더라도, 무표정한 자신의 모습에 익숙해지지 마세요.",- 버스 탈때 기사님께 인삿말 건네기<br>- 자신이 건낸 인삿말을 적기,6,Write,5,기사님과 어떻게 인사했나요?
정,오랜만에 친구한테 전화하기,매번 연락주는데 나도 한번 연락 줄 때 되지 않았나요?,"- 그동안 자주 연락하지 않았던 친구에게 전화 걸어 안부, 인사 등 3개의 말을 건네기<br>- 친구에게 한 말 적기",4,Array,3,친구와 뭐라고 대화 했나요?
정,사랑해 하기,잊지 말자구요. 표현하지 않으면 아무도 몰라준다는 것을.,- 마음을 담아 '사랑해'가 담긴 문장 만들기 <br>- 문장을 입력하기,4,Write,15,내가 만든 '사랑해'문구는?
정,요리해주기,사실 음식보다는 그 사람과 함께하는 시간이 더 맛있더라고요.,- 원하는 사람을 위해 요리를 만들어 주기<br>- 완성된 요리 인증샷 업로드하기,6,Photo,food,어떤 음식을 만들었나요?
정,부모님께 꽃 사드리기,생각해 보면 부모님께 감사 인사를 드린지가 꽤 된 것 같아요.,- 마음에 드는 꽃다발을 고르기<br>- 꽃다발 사진을 찍어서 업로드하기,6,Photo,flower,어떤 꽃다발을 드렸나요?
정,편지쓰기,글 잘 쓸 필요 없어요. 이거 쓰느라 고민하는 당신의 모습으로 충분해요.,- 마음을 담아 편지를 100자 이상 쓰기<br>- 편지 내용을 입력하기,6,Write,100,감사 편지의 내용은?
정,은사님께 연락하기,학창 시절 나를 이끌어준 선생님께 지금의 모습을 전해드려요!,- 학창 시절 가장 기억에 남는 은사님께 연락하기<br>- 은사님과 나눈 말 3개 이상 적기,4,Array,3,은사님과 무슨 말을 나눴나요?
정,"감사합니다, 잘 지내시죠?, 안녕하세요 하기",방금 마음을 훔치는 주문 3개나 알려드린건데 눈치 채셨나요?,"- 감사합니다, 잘 지내시죠?, 안녕하세요가 들어간 문장 하루동안 사용하기 <br>- 각각의 내용을 사용 한 상황을 적기",6,Array,3,어떤 상황해서 이런 말을 했나요?
정,칭찬하기,"과하지 않게 무심한듯 툭 , 듣는 사람도 방심하다가 툭.",- 원하는 사람에 대해 칭찬할 점 생각하기 <br>- 20자 이상의 칭찬 쓰기,4,Write,20,어떤 점을 칭찬하고 싶나요?
모험,한번도 안 가본 길로 집가기,매번 가는 길은 언제든 갈 수 있지만 이 길은 지금 아니면 못가요.,- 한번도 안 가본 길을 걷기<br>- 걸으며 본 새로운 것 3개 적기,4,Array,3,새로운 길을 걸으며 무엇을 봤나요?
모험,비 맞고 걷기,우산 있겠지만 그냥 맞아봐요. 우리 어렸을 때는 다들 그러고 놀았잖아요?,- 비 맞고 거리를 걸어보기<br>- 걸으며 느낀 감상을 50자 이상 적기,4,Write,50,비를 맞으며 무엇을 느꼈나요?
모험,핸드폰 전원 끄기,우리가 핸드폰의 주인이지 핸드폰이 우리의 주인이 아니잖아요?,- 휴대폰 전원을 끄기<br>- 휴대폰 대신 한 일 2가지 적기,6,Array,2,휴대폰 대신 무엇을 했나요?
모험,번개팅 하기,인생이 계획대로만 되면 무슨 재미인가요?,- 번개팅 구성원 모으기<br>- 인증샷 업로드하기,6,Photo,person,번개팅 인증샷!
모험,비싼 음식 시켜 먹기,갈땐 가더라도 팔보채 하나 정도는 괜찬찮아?,- 큰마음을 먹고 비싼 음식 구매하기<br>- 음식 사진을 찍어 업로드하기,6,Photo,food,어떤 음식을 먹었나요?
모험,즉흥 여행가기,지금. 그냥. 생각하지. 말고. 버스. 타러. 가라.,- 근처 안가본 곳에 무작정 떠나기<br>- 셀카를 찍고 업로드하기,6,Photo,person,나의_여행셀카.jpg
모험,무리해서 레스토랑 가기,미슐랭이 별거냐? 내 잔고가 별거지.,- 레스토랑에 찾아가 식사하기<br>- 음식 사진 찍기,4,Photo,food,어떤 음식을 먹었나요?
모험,혼자 영화보기,거기서 혼자 온 다른 분 만나면 되잖아요?,- 혼자 영화표를 구매한 뒤 영화 보기<br>- 감상을 50자 이상 적기,6,Write,50,영화 감상은?
모험,혼자 삼겹살 먹으러 가기,어차피 2인분 먹을거잖아요?,- 혼자 가서 삼겹살 구워먹기<br>- 삼겹살이 올라온 상 사진을 찍어 업로드하기,4,Photo,food,삼겹살 인증샷!
모험,"짜장면, 짬뽕. 평소 먹는거 말고 다른거 시켜먹기",이 미션은 정말 저도 자신이 없네요...,- 평소 시켜먹는 것 말고 다른거 시켜먹기<br>- 주문 후 음식 사진 올리기,6,Photo,food,어떤 음식을 먹었나요?
모험,맛집 찾지 않고 밥 먹으러 가기,언제부터 우리가 사전 조사 없으면 아무 결정도 못 했던가요?,- 좋아보이는 식당 들어가기 <br>- 맛있었다면 그 식당 사진 올려서 홍보해주기,4,Photo,add,어떤 식당을 다녀왔나요?
모험,코인노래방가기,자신있는 애창곡 하나쯤은 있으면 좋잖아요?,- 코인노래방 가서 노래 3곡 이상 부르기 <br>- 부른 노래 제목 모두 적기,6,Array,3,어떤 노래들을 불렀나요?
모험,컴퓨터 전원 끄기,인공지능과의 전쟁을 대비해서 미리 플러그 뽑는 연습해놉시다.,- 컴퓨터 플러기뽑고 5시간 버티기 <br>- 처참히 플러그가 뽑혀진 컴퓨터 사진 올리기,6,Photo,variable,컴퓨터를 죽였다!!!!
자기계발,한 줄 일기 쓰기,"정신 없이 많은게 흘러가는 하루, 글 한 줄 즘은 붙잡아야하지 않겠어요?",- 오늘 하루에 있었던 일을 가볍게 일기로 쓰기<br>- 이른 시간인 경우 어제 있었던 일을 쓰기<br>- 일기 내용을 20자 이상 적기,2,Write,20,일기 내용은?
자기계발,지금 기분 그림으로 한번 보여줘요,그려놓고 보면 '오? 제법인데' 할 걸요?,"- 색연필, 연필 등으로 가볍게 그림 그리기<br>-그림 사진을 찍고 업로드하기",4,Photo,variable,세기의 명작을 그려보세요
자기계발,물건 버리기,공부 시작하기 전에 하면 그렇게 즐거워요!,- 방이나 책상 청소하기<br>- 물건 3가지 버리기 <br>- 버린 물건의 이름을 적기,4,Array,3,무엇을 버렸나요?
자기계발,큰 걸음으로 산책하기,산책하며 기분전환!,- 평소 좋아하는 길을 걷기<br>- 산책하며 인상깊었던 것 2가지 적기,4,Array,2,산책 하며 무엇이 인상깊었나요?
자기계발,5개 국어로 인삿말 적어보기,외국어.. 기초부터 차근차근 올라가면 가능해요!,- 5개 국어로 인삿말 발음해보기<br>- 인삿말을 입력하기,4,Array,5,어떤 인사말들이 있었나요?
자기계발,하루 담배 안 피기,금연하라는거 아니잖아요?,- 5시간동안 담배를 피우지 않기<br>- 담배를 참기 위해 내가 취한 행동 두 가지 적기,6,Array,2,나의 금연 비결은?
자기계발,간단하게 1박 2일 여행계획 짜기,지루한 일상에서 벗어나 잠깐의 꿈같은 여행계획을 그려보는건 어떤가요?,- 평소에 가보고 싶었던 여행지 생각하기<br>- 그 여행지로 여행을 떠났을 때 게획 정하기<br>- 여행계획을 30자 이상 입력하기,4,Write,30,어떻게 여행하고 싶나요?
자기계발,버킷리스트 작성하기,인생의 길잡이가 될 수 있어요!,- 평소에 하고 싶었던 것들로 버킷 리스트 짜기<br>- 버킷리스트 3가지 이상 입력하기,4,Array,3,나의 버킷 리스트는?
자기계발,모르는 요리 배워보기,고구마 맛탕이라도 좋아요! 자신의 요리 스팩트럼을 넓혀보세요,- 할 줄 몰랐던 레시피로 요리를 해보기<br>- 완성된 요리를 촬영해서 이미지 업로드하기,4,Photo,food,어떤 무슨 요리를 했나요?
자기계발,클래식 듣기,가끔은 마음을 편안하게 안정시킬 필요도 있어 보여요. 휴식합시다,"- 클래식을 찾아 들으며 잠시 휴식을 취하기<br>- 들은 클래식의 제목을 입력하고, 간단하게 감상 입력해 보기",4,Write,10,어떤 음악을 들었나요?
자기계발,시 쓰기,"장황하지 않고, 함축적이며, 정갈한 표현이 얼마나 멋있는지!",- 시 쓰기<br>- 자신이 쓴 시 10자 이상 쓰기,2,Write,10,오늘은 내가 시인!
자기계발,슬픈 영화 보고 울기,"우는 방법을 잊어버렸다는게 얼마나 슬픈 일인지, 항상 강해보여야만 하는 사회가 얼마나 무서운지.",- 슬픈영화 보기<br>- 영화의 제목과 어떤 장면에서 울었는지 적기,4,Write,10,어떤 부분에서 슬펐나요?
자기계발,져보기,남은 항상 싸워서 이겨야만하는 존재인가요?,- 무슨 일이든 져보기 <br>-지고나서 느꼈던 감정 30자 이상 글로 남기기,2,Write,30,어떤 생각이 들었나요?
자기계발,명언 몇 가지 찾기,명언은 가끔 삶의 활력소가 되죠,- 명언 3가지 이상 찾기 <br>- 세 가지만 적어보기,2,Array,3,어떤 명언을 찾았나요?
튜토리얼,퀘스트 발급받고 완료하기,데일리 퀘스트'에 오신 것을 환영합니다!,- 이 퀘스트를 선택해 발급받기<br>- 진행중 화면을 캡쳐해서 업로드하기,2,Photo,,진행중 화면을 보여주세요!
튜토리얼,커뮤니티 사이트에 글 업로드하기,같은 퀘스트를 수행하는 사람들끼리 소통도 중요하죠!,- 이 퀘스트를 선택해 발급받기<br>- 이 퀘스트 커뮤니티에 글 작성하기,2,Photo,,커뮤니티에 글 작성한 것을 보여주세요!
해커톤,자기팀 아이디어 5회 홍보하기,홍보효과 업! 자신감도 업!,- 다른 조에 찾아가기<br>- 자신의 아이템을 소개하며 홍보하기- 홍보한 5개 조의 조이름을 적기,4,Array,5,누구에게 홍보했나요??
해커톤,빨간색 옷 입은사람과 커피 사먹기,다른학교 사람들과도 인맥을 쌓아봐요,- 다른 조에서 빨간색 옷을 입은 사람 찾기<br>- 커피를 사먹기<br>- 커피 사진을 촬영해 인증샷 올리기,4,Photo,,같이 먹은 인증샷!
해커톤,파란색 옷 입은사람과 커피 사먹기,다른학교 사람들과도 인맥을 쌓아봐요,- 다른 조에서 파란색 옷을 입은 사람 찾기<br>- 커피를 사먹기<br>- 커피 사진을 촬영해 인증샷 올리기,4,Photo,,같이 먹은 인증샷!
해커톤,하얀색 옷 입은 사람과 커피 사먹기,다른학교 사람들과도 인맥을 쌓아봐요,- 다른 조에서 하얀색 옷을 입은 사람 찾기<br>- 커피를 사먹기<br>- 커피 사진을 촬영해 인증샷 올리기,4,Photo,,같이 먹은 인증샷!
해커톤,이두희 대장님과 사진찍기,이럴때 아니면 언제 해보겠어요,- 다른 조에서 빨간색 옷을 입은 사람 찾기<br>- 커피를 사먹기<br>- 커피 사진을 촬영해 인증샷 올리기,4,Photo,,대표님! 사진찍어요!
해커톤,졸업사 CEO에게 질문 한 가지?,혹시 알아요..?,- 졸업사 CEO들에게 질문 한 가지 하기<br>- 질문 한 내용을 적기,4,Array,1,질문있어요!